https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1620086400000,2021-05-04 00:00:00,AAVE/USDT,519.193,521.104,440.000,448.418,859375.4,411453360.6901,585044
1620000000000,2021-05-03 00:00:00,AAVE/USDT,483.007,536.739,481.843,519.246,582248.4,299389339.6161,429524
1619913600000,2021-05-02 00:00:00,AAVE/USDT,505.888,510.000,474.001,483.153,445470.7,217540003.7601,322802
1619827200000,2021-05-01 00:00:00,AAVE/USDT,444.980,513.676,436.422,505.889,638776.6,306756445.7304,452951
1619740800000,2021-04-30 00:00:00,AAVE/USDT,439.579,457.520,429.257,445.169,398309.4,175651350.5404,293339
1619654400000,2021-04-29 00:00:00,AAVE/USDT,460.855,463.500,423.515,439.447,454699.6,202491983.9474,355150
1619568000000,2021-04-28 00:00:00,AAVE/USDT,441.111,487.868,422.700,461.005,814654.5,374310697.9658,574557
1619481600000,2021-04-27 00:00:00,AAVE/USDT,405.949,450.688,394.149,441.081,629976.9,268584220.9708,436058
1619395200000,2021-04-26 00:00:00,AAVE/USDT,348.864,409.502,345.851,405.812,637979.7,248404892.9925,457869
1619308800000,2021-04-25 00:00:00,AAVE/USDT,317.342,354.093,313.100,348.845,426656.0,142744306.9709,315777
1619222400000,2021-04-24 00:00:00,AAVE/USDT,344.075,344.574,313.851,317.323,385029.4,126180948.3276,305172
1619136000000,2021-04-23 00:00:00,AAVE/USDT,359.952,372.516,303.000,344.026,814670.4,271164487.0551,548546
1619049600000,2021-04-22 00:00:00,AAVE/USDT,351.160,414.919,343.086,360.042,757035.8,288318588.4398,544440
1618963200000,2021-04-21 00:00:00,AAVE/USDT,360.548,385.113,341.424,351.373,426342.4,155169034.7278,315345
1618876800000,2021-04-20 00:00:00,AAVE/USDT,344.538,372.348,310.960,360.510,717439.2,246996327.9826,384089
1618790400000,2021-04-19 00:00:00,AAVE/USDT,382.002,399.002,340.819,344.495,1165642.8,432960318.4517,406783
1618704000000,2021-04-18 00:00:00,AAVE/USDT,425.824,429.982,227.699,382.106,1918019.7,696583724.7817,837189
1618617600000,2021-04-17 00:00:00,AAVE/USDT,441.704,464.106,419.122,425.825,427034.4,188216408.9350,303227
1618531200000,2021-04-16 00:00:00,AAVE/USDT,466.416,471.690,420.000,441.706,667271.6,297051336.2585,426433
1618444800000,2021-04-15 00:00:00,AAVE/USDT,429.087,493.331,423.755,466.361,1060768.8,484521383.1147,596671
1618358400000,2021-04-14 00:00:00,AAVE/USDT,400.078,432.165,385.234,428.919,868180.9,352495126.8425,468691
1618272000000,2021-04-13 00:00:00,AAVE/USDT,398.346,422.270,386.043,399.946,674307.0,271373771.3994,390700
1618185600000,2021-04-12 00:00:00,AAVE/USDT,372.665,418.799,365.000,398.331,778515.5,304248427.0174,421165
1618099200000,2021-04-11 00:00:00,AAVE/USDT,367.875,374.476,361.000,372.519,214583.6,79161242.9059,171462
1618012800000,2021-04-10 00:00:00,AAVE/USDT,359.584,376.919,356.700,367.812,288324.3,106564103.5163,204467
1617926400000,2021-04-09 00:00:00,AAVE/USDT,371.151,375.000,357.000,359.590,224638.8,82371458.1787,155066
1617840000000,2021-04-08 00:00:00,AAVE/USDT,349.406,371.560,347.313,371.178,328446.5,118578392.5738,204198
1617753600000,2021-04-07 00:00:00,AAVE/USDT,384.076,388.487,340.000,349.609,559197.8,201890921.7534,358273
1617667200000,2021-04-06 00:00:00,AAVE/USDT,399.256,415.950,379.381,384.046,535094.9,213433754.2757,317248
1617580800000,2021-04-05 00:00:00,AAVE/USDT,403.686,409.500,383.696,399.006,283617.4,113028341.4569,210318
