https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ICP,Volume USDT,tradecount
1623801600000,2021-06-16 00:00:00,ICP/USDT,60.32000000,60.41000000,54.72000000,55.34000000,1323822.44000000,75387425.47210000,146359
1623715200000,2021-06-15 00:00:00,ICP/USDT,66.69000000,68.88000000,58.58000000,60.39000000,1801762.13000000,113215344.46800000,193071
1623628800000,2021-06-14 00:00:00,ICP/USDT,64.44000000,70.81000000,61.88000000,66.69000000,1588608.47000000,104997053.13330000,182637
1623542400000,2021-06-13 00:00:00,ICP/USDT,61.07000000,67.00000000,57.18000000,64.45000000,2035143.16000000,125963640.72360000,222659
1623456000000,2021-06-12 00:00:00,ICP/USDT,58.40000000,67.66000000,52.92000000,61.08000000,2179939.38000000,128861473.32490000,259288
1623369600000,2021-06-11 00:00:00,ICP/USDT,66.54000000,72.39000000,56.14000000,58.49000000,2119023.27000000,137189815.28570000,281430
1623283200000,2021-06-10 00:00:00,ICP/USDT,81.55000000,83.69000000,65.35000000,66.57000000,2095644.84000000,152652152.23980000,295219
1623196800000,2021-06-09 00:00:00,ICP/USDT,81.31000000,88.99000000,77.10000000,81.55000000,1226553.49000000,100763768.32050000,190683
1623110400000,2021-06-08 00:00:00,ICP/USDT,91.14000000,94.37000000,76.72000000,81.31000000,1081773.46000000,92100852.95550000,181284
1623024000000,2021-06-07 00:00:00,ICP/USDT,104.42000000,106.73000000,88.88000000,91.13000000,819469.64000000,82093920.62400000,176841
1622937600000,2021-06-06 00:00:00,ICP/USDT,104.50000000,110.00000000,102.39000000,104.49000000,512306.77000000,54100304.56600000,89120
1622851200000,2021-06-05 00:00:00,ICP/USDT,108.71000000,116.26000000,100.00000000,104.55000000,755203.97000000,81864643.56020000,170071
1622764800000,2021-06-04 00:00:00,ICP/USDT,124.50000000,124.54000000,105.24000000,108.78000000,1329668.01000000,151013113.26440000,275990
1622678400000,2021-06-03 00:00:00,ICP/USDT,107.89000000,136.62000000,105.20000000,124.54000000,1666717.82000000,202294195.31190000,323366
1622592000000,2021-06-02 00:00:00,ICP/USDT,107.58000000,113.06000000,101.97000000,108.01000000,806345.16000000,86248012.39690000,175667
1622505600000,2021-06-01 00:00:00,ICP/USDT,114.65000000,117.11000000,106.47000000,107.58000000,418636.87000000,46351813.53320000,91533
1622419200000,2021-05-31 00:00:00,ICP/USDT,111.87000000,115.36000000,105.15000000,114.65000000,496847.77000000,55088922.22220000,101963
1622332800000,2021-05-30 00:00:00,ICP/USDT,110.77000000,118.97000000,104.40000000,111.90000000,456137.64000000,50731679.71640000,99356
1622246400000,2021-05-29 00:00:00,ICP/USDT,115.65000000,119.76000000,105.60000000,110.75000000,500541.51000000,56100383.87380000,108886
1622160000000,2021-05-28 00:00:00,ICP/USDT,132.39,133.17,109.77,115.73,1099049.82,131280078.4640,335296
1622073600000,2021-05-27 00:00:00,ICP/USDT,142.63,145.76,129.29,132.45,646912.99,87818164.3462,228952
1621987200000,2021-05-26 00:00:00,ICP/USDT,134.01,152.20,131.83,142.80,936763.78,131821907.7526,316558
1621900800000,2021-05-25 00:00:00,ICP/USDT,147.76,156.35,123.11,134.05,1047477.13,143933945.3723,365518
1621814400000,2021-05-24 00:00:00,ICP/USDT,143.60,163.51,135.40,147.78,1168245.37,171750786.6249,458511
1621728000000,2021-05-23 00:00:00,ICP/USDT,146.11,165.00,120.40,143.56,1688417.62,234327541.7698,674794
1621641600000,2021-05-22 00:00:00,ICP/USDT,145.40,168.60,124.20,146.11,1237020.88,178017352.4583,483794
1621555200000,2021-05-21 00:00:00,ICP/USDT,164.06,186.57,119.28,145.40,2009635.35,314290269.1736,851816
