https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USDT,tradecount
1618099200000,2021-04-11 00:00:00,LRC/USDT,0.55450,0.57879,0.55233,0.57305,31771250,17976270.53845,79099
1618012800000,2021-04-10 00:00:00,LRC/USDT,0.55627,0.58000,0.54260,0.55423,38594063,21824801.37167,87412
1617926400000,2021-04-09 00:00:00,LRC/USDT,0.56866,0.57463,0.54693,0.55626,36375555,20367925.80616,80228
1617840000000,2021-04-08 00:00:00,LRC/USDT,0.52142,0.57652,0.51689,0.56851,70236437,38949921.14910,130319
1617753600000,2021-04-07 00:00:00,LRC/USDT,0.57340,0.58620,0.48760,0.52139,86674958,46295081.76052,178470
1617667200000,2021-04-06 00:00:00,LRC/USDT,0.58941,0.61200,0.54904,0.57317,75793798,44422320.25669,160719
1617580800000,2021-04-05 00:00:00,LRC/USDT,0.57213,0.61590,0.54071,0.58927,60970833,35431732.32708,138894
1617494400000,2021-04-04 00:00:00,LRC/USDT,0.52763,0.57943,0.51600,0.57243,45586842,25256159.71242,113936
1617408000000,2021-04-03 00:00:00,LRC/USDT,0.57112,0.60188,0.52337,0.52760,85580831,48627377.53633,198057
1617321600000,2021-04-02 00:00:00,LRC/USDT,0.53800,0.58278,0.52798,0.57109,68768931,38653090.26949,157213
1617235200000,2021-04-01 00:00:00,LRC/USDT,0.54995,0.56618,0.52595,0.53766,48629588,26565511.36497,130125
1617148800000,2021-03-31 00:00:00,LRC/USDT,0.55015,0.56200,0.50350,0.54972,48992097,26053310.73892,124235
1617062400000,2021-03-30 00:00:00,LRC/USDT,0.53977,0.56336,0.53276,0.54990,46814670,25641954.99672,101387
1616976000000,2021-03-29 00:00:00,LRC/USDT,0.49250,0.55515,0.48436,0.53946,67619786,35824935.31933,148905
1616889600000,2021-03-28 00:00:00,LRC/USDT,0.48693,0.50734,0.47332,0.49233,44353929,21743338.40096,102874
1616803200000,2021-03-27 00:00:00,LRC/USDT,0.50269,0.51311,0.48101,0.48682,34625412,17155473.87052,86185
1616716800000,2021-03-26 00:00:00,LRC/USDT,0.44950,0.51400,0.44919,0.50244,42804676,20906760.37189,89482
1616630400000,2021-03-25 00:00:00,LRC/USDT,0.46883,0.47660,0.43785,0.44935,44698033,20451868.73105,115570
1616544000000,2021-03-24 00:00:00,LRC/USDT,0.52013,0.53695,0.45661,0.46892,36271579,18220456.03014,101336
1616457600000,2021-03-23 00:00:00,LRC/USDT,0.52009,0.54398,0.49554,0.52026,29662384,15479653.13131,93322
1616371200000,2021-03-22 00:00:00,LRC/USDT,0.55651,0.56731,0.51005,0.52020,31917230,17337299.33681,97760
1616284800000,2021-03-21 00:00:00,LRC/USDT,0.57871,0.58463,0.53654,0.55657,33697626,18770321.00233,94526
1616198400000,2021-03-20 00:00:00,LRC/USDT,0.58647,0.61438,0.57703,0.57956,25331276,15178527.04092,76437
1616112000000,2021-03-19 00:00:00,LRC/USDT,0.59411,0.60980,0.56000,0.58656,25693251,15189952.41164,77454
1616025600000,2021-03-18 00:00:00,LRC/USDT,0.62893,0.63484,0.59000,0.59398,37895407,23286851.98371,100854
1615939200000,2021-03-17 00:00:00,LRC/USDT,0.54620,0.65516,0.54122,0.62840,73549358,44217015.57232,206071
1615852800000,2021-03-16 00:00:00,LRC/USDT,0.56396,0.57977,0.51699,0.54563,48850567,26398140.98363,140233
1615766400000,2021-03-15 00:00:00,LRC/USDT,0.54192,0.62946,0.49740,0.56397,85207441,47328230.18315,248174
1615680000000,2021-03-14 00:00:00,LRC/USDT,0.57223,0.57858,0.54096,0.54203,33924187,18894551.90949,85110
1615593600000,2021-03-13 00:00:00,LRC/USDT,0.52803,0.60606,0.51110,0.57195,43128293,24371487.24813,99867
1615507200000,2021-03-12 00:00:00,LRC/USDT,0.56050,0.57018,0.51365,0.52800,38270532,20794530.65416,95178
1615420800000,2021-03-11 00:00:00,LRC/USDT,0.57306,0.58218,0.53801,0.56039,34116019,19263512.52535,89655
1615334400000,2021-03-10 00:00:00,LRC/USDT,0.62156,0.62888,0.55801,0.57229,40777145,23985997.13885,107264
1615248000000,2021-03-09 00:00:00,LRC/USDT,0.59266,0.62888,0.57977,0.62088,38921086,23527118.31407,101093
1615161600000,2021-03-08 00:00:00,LRC/USDT,0.57243,0.60111,0.54800,0.59261,22993940,13076608.37874,67378
