https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT,tradecount
1618617600000,2021-04-17 00:00:00,FIL/USDT,182.931,193.300,176.247,181.032,3725761.4,689426252.5462,741294
1618531200000,2021-04-16 00:00:00,FIL/USDT,170.999,196.465,170.956,182.932,7812454.7,1428801436.2641,1416237
1618444800000,2021-04-15 00:00:00,FIL/USDT,168.534,175.661,167.923,171.012,2691129.8,461359912.9395,529095
1618358400000,2021-04-14 00:00:00,FIL/USDT,164.522,179.850,160.088,168.540,4722518.2,795710186.8852,968609
1618272000000,2021-04-13 00:00:00,FIL/USDT,167.965,169.496,160.420,164.503,2921805.9,483168813.3178,615418
1618185600000,2021-04-12 00:00:00,FIL/USDT,179.490,182.609,159.160,167.978,4355339.5,738996645.1260,849534
1618099200000,2021-04-11 00:00:00,FIL/USDT,174.822,185.104,173.093,179.507,2460324.8,439405947.1007,559864
1618012800000,2021-04-10 00:00:00,FIL/USDT,172.349,189.215,170.833,174.815,5608095.2,1013942627.6446,1090116
1617926400000,2021-04-09 00:00:00,FIL/USDT,154.213,175.996,153.035,172.343,6758986.1,1135504575.1113,1131300
1617840000000,2021-04-08 00:00:00,FIL/USDT,156.313,158.979,146.363,154.216,4476548.5,682913652.7185,830907
1617753600000,2021-04-07 00:00:00,FIL/USDT,165.853,166.705,135.500,156.295,10137892.1,1504626906.6798,1693358
1617667200000,2021-04-06 00:00:00,FIL/USDT,176.619,179.214,163.811,165.806,3100473.5,530244567.8260,654173
1617580800000,2021-04-05 00:00:00,FIL/USDT,183.030,187.293,170.200,176.608,3938084.1,703274313.3357,815920
1617494400000,2021-04-04 00:00:00,FIL/USDT,178.228,193.961,175.343,183.000,7272455.5,1345746762.0523,1324700
1617408000000,2021-04-03 00:00:00,FIL/USDT,172.420,181.808,162.400,178.227,9438588.9,1636368996.8498,1761404
1617321600000,2021-04-02 00:00:00,FIL/USDT,185.547,206.000,160.565,172.388,14570463.5,2672047441.1151,2758395
1617235200000,2021-04-01 00:00:00,FIL/USDT,190.986,238.511,180.000,185.563,26279100.0,5508351222.2432,4949062
1617148800000,2021-03-31 00:00:00,FIL/USDT,149.864,198.427,144.000,190.997,21113337.3,3628775604.1126,3200420
